"TOA5","S2bog","CR1000","34019","CR1000.Std.19","CPU:2020.01.13_S2BogWell.CR1","14464","S2BWMet"
TIMESTAMP,RECORD,AirT,AirTBW,RH,RHBW,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,Deg C,%,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2020-01-07 13:30:00,4893,-12.4,-12.44,51.4,61.78,42.56477,96.3,101.3,
2020-01-07 14:00:00,4894,-13.3,-12.88,53.1,62.94,26.89121,96.4,101.4,
2020-01-07 14:30:00,4895,-13.9,-13.37,54.5,66.19,50.00076,96.4,101.4,
2020-01-10 20:30:00,5051,-23.5,-23.36,71,83.2,0.2030034,97.7,102.7,
2020-01-10 21:00:00,5052,-24.2,-23.97,70.8,83.7,0.2030211,97.8,102.7,
2020-01-10 21:30:00,5053,-24.7,-24.72,71,83.5,0.2030166,97.8,102.8,
2020-01-10 22:00:00,5054,-25.6,-25.75,70,83.9,0.2030263,97.9,102.8,
2020-01-10 22:30:00,5055,-26.5,-26.42,70.4,83.4,0.2030547,97.9,102.9,
2020-01-10 23:00:00,5056,-26.9,-26.81,71.9,84.7,0.2707683,98,102.9,
2020-01-10 23:30:00,5057,-27.5,-27.59,69.2,83.2,0.2707902,98,103,
2020-01-11 00:00:00,5058,-27.7,-27.03,74.5,85.4,0.2708378,97.9,102.9,
2020-01-11 00:30:00,5059,-25.8,-25.36,75.5,86,0.2031571,97.8,102.8,
2020-01-11 01:00:00,5060,-26,-25.28,74.7,84.4,0.2031564,97.8,102.8,
2020-01-11 01:30:00,5061,-26.8,-26.48,71.7,83.4,0.2031419,97.8,102.8,
2020-01-11 02:00:00,5062,-27.4,-27.16,71.7,84.5,0.1354194,97.9,102.8,
2020-01-11 02:30:00,5063,-28.1,-27.89,70.1,82.2,0.2031403,97.8,102.7,
2020-01-11 03:00:00,5064,-28.9,-28.63,71.1,83.4,0.2031576,97.9,102.9,
2020-01-11 03:30:00,5065,-29.4,-28.96,70.8,83,0.2031563,97.9,102.9,
2020-01-11 04:00:00,5066,-29.9,-29.55,69.7,82.3,0.2031697,97.9,102.9,
2020-01-11 04:30:00,5067,-30.3,-29.8,70.9,82.4,0.2031848,97.8,102.8,
2020-01-11 05:00:00,5068,-30.4,-30.35,68.6,81.1,0.2032062,97.8,102.8,
2020-01-11 05:30:00,5069,-30.7,-30.57,69.3,82,0.2709554,97.8,102.8,
2020-01-11 06:00:00,5070,-31,-30.76,70.4,82.2,0.2709623,97.9,102.9,
2020-01-11 06:30:00,5071,-31,-30.74,70.1,81.4,0.2032169,97.8,102.8,
2020-01-11 07:00:00,5072,-30.9,-30.61,71,82.2,0.2032245,97.8,102.8,
2020-01-11 07:30:00,5073,-30.8,-30.45,71.3,82.9,0.2709582,97.9,102.9,
2020-01-11 08:00:00,5074,-30.7,-30.16,72.1,83,1.964453,97.9,102.9,
2020-01-11 08:30:00,5075,-30.9,-30.21,69.9,81,8.332011,97.9,102.9,
2020-01-11 09:00:00,5076,-30.1,-29.51,73.6,83.2,13.88637,97.9,102.9,
2020-01-11 09:30:00,5077,-28.2,-27.24,75.6,85.7,20.32192,97.8,102.8,
2020-01-11 10:00:00,5078,-25.1,-24.09,76.1,85.5,24.04777,97.7,102.7,
2020-01-11 10:30:00,5079,-22.9,-22.29,74.7,85.4,27.4306,97.7,102.7,
2020-01-11 11:00:00,5080,-21.1,-20.19,68.8,77.61,32.16154,97.6,102.6,
2020-01-11 11:30:00,5081,-19.9,-19.13,64.9,72.74,256.2659,97.6,102.6,
2020-01-11 12:00:00,5082,-18.7,-17.27,61.2,68.54,331.4991,97.5,102.5,
2020-01-11 12:30:00,5083,-17.7,-16.6,61.2,66.94,40.24982,97.4,102.4,
2020-01-11 13:00:00,5084,-16.6,-15.69,54.8,62.48,92.77064,97.4,102.3,
2020-01-11 13:30:00,5085,-15.3,-15.38,50.2,60.05,34.27397,97.4,102.3,
2020-01-11 14:00:00,5086,-15.7,-15.01,53.8,59.55,32.64916,97.3,102.3,
2020-01-11 14:30:00,5087,-15.7,-15.24,50.7,63.12,31.22677,97.3,102.3,
2020-01-11 15:00:00,5088,-15.5,-15.22,52.5,62.24,19.80227,97.3,102.3,
2020-01-11 15:30:00,5089,-16.3,-16,61.2,69.82,15.47827,97.3,102.3,
2020-01-11 16:00:00,5090,-17.2,-17.17,61.2,71.33,10.74776,97.4,102.4,
2020-01-11 16:30:00,5091,-18.5,-18.76,63.6,75.89,4.461539,97.4,102.4,
2020-01-11 17:00:00,5092,-19.8,-20.17,66.1,79.11,0.4732696,97.4,102.4,
2020-01-11 17:30:00,5093,-20.8,-21.09,68.1,81.6,0.2704915,97.4,102.4,
2020-01-11 18:00:00,5094,-21.4,-21.38,70.4,83.1,0.2705322,97.4,102.4,
2020-01-11 18:30:00,5095,-21.3,-21.17,72.3,83.1,0.2705913,97.4,102.4,
2020-01-11 19:00:00,5096,-21.2,-20.9,73.3,83.7,0.2706068,97.4,102.4,
2020-01-11 19:30:00,5097,-20.9,-20.42,73.9,83.1,0.20296,97.3,102.3,
2020-01-11 20:00:00,5098,-20.7,-20.38,74,83.5,0.27061,97.3,102.3,
2020-01-11 20:30:00,5099,-20.5,-20.21,72.7,83.2,0.2029603,97.3,102.3,
2020-01-11 21:00:00,5100,-20.4,-19.82,71.3,81.2,0.2029558,97.3,102.3,
2020-01-11 21:30:00,5101,-21,-20.6,72.3,81.8,0.1353021,97.3,102.3,
2020-01-11 22:00:00,5102,-20.5,-19.99,74.4,83.7,0.2029556,97.3,102.3,
2020-01-11 22:30:00,5103,-19.5,-18.56,75.9,86.5,0.2029635,97.3,102.3,
2020-01-11 23:00:00,5104,-19.2,-18.36,76.1,85.3,0.2029557,97.3,102.3,
2020-01-11 23:30:00,5105,-19.4,-18.85,77.2,87.2,0.2029453,97.3,102.2,
2020-01-12 00:00:00,5106,-20,-19.65,76.6,87.3,0.2029324,97.3,102.2,
2020-01-12 00:30:00,5107,-20.2,-19.76,78.3,87.6,0.2029262,97.2,102.2,
2020-01-12 01:00:00,5108,-20,-19.48,78.5,88,0.202927,97.2,102.2,
2020-01-12 01:30:00,5109,-19.5,-19.03,78.6,87.7,0.2029409,97.2,102.2,
2020-01-12 02:00:00,5110,-19.1,-18.56,80.1,88.7,0.2029359,97.2,102.2,
2020-01-12 02:30:00,5111,-18.7,-18.17,77.8,86.6,0.2029224,97.2,102.2,
2020-01-12 03:00:00,5112,-18.7,-18.23,77.3,86.5,0.1352744,97.2,102.2,
2020-01-12 03:30:00,5113,-18.6,-18.25,77.5,86.9,0.2705295,97.2,102.2,
2020-01-12 04:00:00,5114,-18.7,-18.23,78.4,87.8,0.2028942,97.2,102.2,
2020-01-12 04:30:00,5115,-18.2,-17.69,77.7,86.8,0.2028904,97.2,102.2,
