"TOA5","S3_fenwell","CR1000X","4723","CR1000X.Std.03.02","CPU:2019.11_S3BogWell.cr1x","39341","S3FW_Daily"
TIMESTAMP,RECORD,MinWTElev,MaxWTElev,MinWTElev_m,MaxWTElev_m,MinAirT,MaxAirT,PAR_Tot_Tot
TS,RN,ft ASL,ft ASL,m ASL,m ASL,Deg C,Deg C,mmol/mÂ²
,,Smp,Smp,Smp,Smp,Smp,Smp,Tot
2020-10-13 23:59:55,64,1357.189,1357.216,413.67,413.68,NAN,NAN,0
2020-10-14 23:59:55,65,1357.186,1357.25,413.67,413.69,NAN,NAN,0
2020-10-15 23:59:55,66,1357.216,1357.247,413.68,413.69,NAN,NAN,0
2020-10-16 23:59:55,67,1357.198,1357.216,413.67,413.68,NAN,NAN,0
2020-10-17 23:59:55,68,1357.195,1357.198,413.67,413.67,NAN,NAN,0
2020-10-18 23:59:55,69,1357.183,1357.195,413.67,413.67,NAN,NAN,0
2020-10-19 23:59:55,70,1357.177,1357.183,413.67,413.67,NAN,NAN,0
2020-10-20 23:59:55,71,1357.173,1357.18,413.67,413.67,NAN,NAN,0
2020-10-21 23:59:55,72,1357.18,1357.18,413.67,413.67,NAN,NAN,0
2020-10-22 23:59:55,73,1357.18,1357.183,413.67,413.67,NAN,NAN,0
2020-10-23 23:59:55,74,1357.183,1357.183,413.67,413.67,NAN,NAN,0
2020-10-24 23:59:55,75,1357.18,1357.183,413.67,413.67,NAN,NAN,0
2020-10-25 23:59:55,76,1357.177,1357.18,413.67,413.67,NAN,NAN,0
2020-10-26 23:59:55,77,1357.173,1357.177,413.67,413.67,NAN,NAN,0
2020-10-27 23:59:55,78,1357.17,1357.173,413.67,413.67,NAN,NAN,0
2020-10-28 23:59:55,79,1357.17,1357.177,413.67,413.67,NAN,NAN,0
2020-10-29 23:59:55,80,1357.173,1357.173,413.67,413.67,NAN,NAN,0
2020-10-30 23:59:55,0,1357.16,1357.163,413.66,413.66,NAN,NAN,0
2020-10-31 23:59:55,1,1357.163,1357.173,413.66,413.67,NAN,NAN,0
2020-11-01 23:59:55,2,1357.163,1357.173,413.66,413.67,NAN,NAN,0
2020-11-02 23:59:55,3,1357.163,1357.167,413.66,413.66,NAN,NAN,0
2020-11-03 23:59:55,4,1357.167,1357.185,413.66,413.67,NAN,NAN,0
2020-11-04 23:59:55,5,1357.185,1357.203,413.67,413.68,NAN,NAN,0
2020-11-05 23:59:55,6,1357.2,1357.21,413.67,413.68,NAN,NAN,0
2020-11-06 23:59:55,7,1357.206,1357.21,413.68,413.68,NAN,NAN,0
2020-11-07 23:59:55,8,1357.197,1357.206,413.67,413.68,NAN,NAN,0
2020-11-08 23:59:55,9,1357.185,1357.197,413.67,413.67,NAN,NAN,0
2020-11-09 23:59:55,10,1357.185,1357.246,413.67,413.69,NAN,NAN,0
2020-11-10 23:59:55,11,1357.206,1357.237,413.68,413.69,NAN,NAN,0
2020-11-11 23:59:55,12,1357.191,1357.206,413.67,413.68,NAN,NAN,0
2020-11-12 23:59:55,13,1357.179,1357.191,413.67,413.67,NAN,NAN,0
2020-11-13 23:59:55,14,1357.173,1357.179,413.67,413.67,NAN,NAN,0
2020-11-14 23:59:55,15,1357.167,1357.173,413.66,413.67,NAN,NAN,0
2020-11-15 23:59:55,16,1357.16,1357.167,413.66,413.66,NAN,NAN,0
2020-11-16 23:59:55,17,1357.154,1357.16,413.66,413.66,NAN,NAN,0
2020-11-17 23:59:55,18,1357.148,1357.154,413.66,413.66,NAN,NAN,0
2020-11-18 23:59:55,19,1357.148,1357.151,413.66,413.66,NAN,NAN,0
2020-11-19 23:59:55,20,1357.148,1357.151,413.66,413.66,NAN,NAN,0
2020-11-20 23:59:55,21,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-11-21 23:59:55,22,1357.145,1357.145,413.66,413.66,NAN,NAN,0
2020-11-22 23:59:55,23,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-11-23 23:59:55,24,1357.145,1357.145,413.66,413.66,NAN,NAN,0
2020-11-24 23:59:55,25,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-11-25 23:59:55,26,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-11-26 23:59:55,27,1357.148,1357.148,413.66,413.66,NAN,NAN,0
2020-11-27 23:59:55,28,1357.148,1357.151,413.66,413.66,NAN,NAN,0
2020-11-28 23:59:55,29,1357.148,1357.148,413.66,413.66,NAN,NAN,0
2020-11-29 23:59:55,30,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-11-30 23:59:55,31,1357.142,1357.145,413.66,413.66,NAN,NAN,0
2020-12-01 23:59:55,32,1357.139,1357.142,413.66,413.66,NAN,NAN,0
2020-12-02 23:59:55,33,1357.139,1357.142,413.66,413.66,NAN,NAN,0
2020-12-03 23:59:55,34,1357.142,1357.145,413.66,413.66,NAN,NAN,0
2020-12-04 23:59:55,35,1357.142,1357.145,413.66,413.66,NAN,NAN,0
2020-12-05 23:59:55,36,1357.142,1357.145,413.66,413.66,NAN,NAN,0
2020-12-06 23:59:55,37,1357.145,1357.145,413.66,413.66,NAN,NAN,0
2020-12-07 23:59:55,38,1357.145,1357.148,413.66,413.66,NAN,NAN,0
2020-12-08 23:59:55,39,1357.148,1357.157,413.66,413.66,NAN,NAN,0
2020-12-09 23:59:55,40,1357.154,1357.154,413.66,413.66,NAN,NAN,0
2020-12-10 23:59:55,41,1357.154,1357.157,413.66,413.66,NAN,NAN,0
2020-12-11 23:59:55,42,1357.154,1357.154,413.66,413.66,NAN,NAN,0
2020-12-12 23:59:55,43,1357.154,1357.154,413.66,413.66,NAN,NAN,0
2020-12-13 23:59:55,44,1357.151,1357.154,413.66,413.66,NAN,NAN,0
2020-12-31 23:59:55,0,1357.17,1357.17,413.67,413.67,NAN,NAN,0
2021-01-01 23:59:55,1,1357.17,1357.173,413.67,413.67,NAN,NAN,0
2021-01-02 23:59:55,2,1357.173,1357.176,413.67,413.67,NAN,NAN,0
2021-01-03 23:59:55,3,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-01-04 23:59:55,4,1357.179,1357.179,413.67,413.67,NAN,NAN,0
2021-01-05 23:59:55,5,1357.176,1357.179,413.67,413.67,NAN,NAN,0
2021-01-06 23:59:55,6,1357.176,1357.176,413.67,413.67,NAN,NAN,0
2021-01-07 23:59:55,7,1357.176,1357.176,413.67,413.67,NAN,NAN,0
2021-01-08 23:59:55,8,1357.176,1357.179,413.67,413.67,NAN,NAN,0
2021-01-09 23:59:55,9,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-01-10 23:59:55,10,1357.179,1357.182,413.67,413.67,NAN,NAN,0
2021-01-11 23:59:55,11,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-12 23:59:55,12,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-13 23:59:55,13,1357.185,1357.185,413.67,413.67,NAN,NAN,0
2021-01-14 23:59:55,14,1357.185,1357.191,413.67,413.67,NAN,NAN,0
2021-01-15 23:59:55,15,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-01-16 23:59:55,16,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-17 23:59:55,17,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-18 23:59:55,18,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-19 23:59:55,19,1357.179,1357.182,413.67,413.67,NAN,NAN,0
2021-01-20 23:59:55,20,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-21 23:59:55,21,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-22 23:59:55,22,1357.179,1357.182,413.67,413.67,NAN,NAN,0
2021-01-23 23:59:55,23,1357.179,1357.182,413.67,413.67,NAN,NAN,0
2021-01-24 23:59:55,24,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-25 23:59:55,25,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-26 23:59:55,26,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-27 23:59:55,27,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-28 23:59:55,28,1357.182,1357.182,413.67,413.67,NAN,NAN,0
2021-01-29 23:59:55,29,1357.182,1357.185,413.67,413.67,NAN,NAN,0
2021-01-30 23:59:55,30,1357.185,1357.188,413.67,413.67,NAN,NAN,0
2021-01-31 23:59:55,31,1357.188,1357.194,413.67,413.67,NAN,NAN,0
2021-02-01 23:59:55,32,1357.194,1357.194,413.67,413.67,NAN,NAN,0
2021-02-02 23:59:55,33,1357.194,1357.203,413.67,413.68,NAN,NAN,0
2021-02-03 23:59:55,34,1357.2,1357.206,413.67,413.68,NAN,NAN,0
2021-02-04 23:59:55,35,1357.206,1357.206,413.68,413.68,NAN,NAN,0
2021-02-05 23:59:55,36,1357.203,1357.206,413.68,413.68,NAN,NAN,0
2021-02-06 23:59:55,37,1357.2,1357.203,413.67,413.68,NAN,NAN,0
2021-02-07 23:59:55,38,1357.197,1357.2,413.67,413.67,NAN,NAN,0
