"TOA5","S6_Weir","CR1000X","4737","CR1000X.Std.03.02","CPU:2019.08_S6Weir.CR1x","42030","S6ShelterT"
TIMESTAMP,RECORD,Batt_Volt,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C
,,Smp,Smp,Smp
2021-05-10 13:00:00,193,12.98,12.7,12.7
2021-05-10 13:30:00,194,14.28,12,12
2021-05-10 14:00:00,195,12.95,13.3,13.3
2021-05-10 14:30:00,196,12.93,11.8,11.8
2021-05-10 15:00:00,197,12.94,10.9,10.9
2021-05-10 15:30:00,198,13.01,11.4,11.4
2021-05-10 16:00:00,199,12.94,11,11
2021-05-10 16:30:00,200,12.93,11,11
2021-05-10 17:00:00,201,12.89,11.2,11.2
2021-05-10 17:30:00,202,12.84,10.7,10.7
2021-05-10 18:00:00,203,12.82,9.6,9.6
2021-05-10 18:30:00,204,12.81,8.9,8.9
2021-05-10 19:00:00,205,12.79,8.2,8.2
2021-05-10 19:30:00,206,12.78,7.5,7.5
2021-05-10 20:00:00,207,12.77,6.3,6.3
2021-05-10 20:30:00,208,12.76,5.4,5.4
2021-05-10 21:00:00,209,12.75,4.5,4.5
2021-05-10 21:30:00,210,12.75,3.9,3.9
2021-05-10 22:00:00,211,12.74,3.1,3.1
2021-05-10 22:30:00,212,12.73,2.4,2.4
2021-05-10 23:00:00,213,12.73,1.9,1.9
2021-05-10 23:30:00,214,12.72,1.4,1.4
2021-05-11 00:00:00,215,12.71,1,1
2021-05-11 00:30:00,216,12.71,0.6,0.6
2021-05-11 01:00:00,217,12.7,0.2,0.2
2021-05-11 01:30:00,218,12.7,-0.2,-0.2
2021-05-11 02:00:00,219,12.69,-0.4,-0.4
2021-05-11 02:30:00,220,12.69,-0.6,-0.6
2021-05-11 03:00:00,221,12.68,-0.8,-0.8
2021-05-11 03:30:00,222,12.68,-0.9,-0.9
2021-05-11 04:00:00,223,12.68,-1.2,-1.2
2021-05-11 04:30:00,224,12.67,-1.4,-1.4
2021-05-11 05:00:00,225,12.67,-1.5,-1.5
2021-05-11 05:30:00,226,12.66,-1.5,-1.5
2021-05-11 06:00:00,227,12.67,-1.3,-1.3
2021-05-11 06:30:00,228,12.67,-0.9,-0.9
2021-05-11 07:00:00,229,12.68,-0.1,-0.1
2021-05-11 07:30:00,230,12.69,1.1,1.1
2021-05-11 08:00:00,231,12.7,2.8,2.8
2021-05-11 08:30:00,232,12.72,4.4,4.4
2021-05-11 09:00:00,233,12.81,5.9,5.9
2021-05-11 09:30:00,234,13.06,7.3,7.3
2021-05-11 10:00:00,235,13.11,9.3,9.3
2021-05-11 10:30:00,236,13.69,12,12
2021-05-11 11:00:00,237,14.3,14.5,14.5
2021-05-11 11:30:00,238,14.24,17.4,17.4
2021-05-11 12:00:00,239,14.04,19.3,19.3
2021-05-11 12:30:00,240,13.56,20.2,20.2
2021-05-11 13:00:00,241,13.01,20.6,20.6
2021-05-11 13:30:00,242,13.44,20.8,20.8
2021-05-11 14:00:00,243,13.41,21.6,21.6
2021-05-11 14:30:00,244,13.28,21.7,21.7
2021-05-11 15:00:00,245,13.1,21.8,21.8
2021-05-11 15:30:00,246,13.21,23,23
2021-05-11 16:00:00,247,13.19,22.1,22.1
2021-05-11 16:30:00,248,13.03,18.8,18.8
2021-05-11 17:00:00,249,12.95,16.8,16.8
2021-05-11 17:30:00,250,12.93,18.5,18.5
2021-05-11 18:00:00,251,12.91,17.9,17.9
2021-05-11 18:30:00,252,12.89,15.3,15.3
2021-05-11 19:00:00,253,12.88,14.1,14.1
2021-05-11 19:30:00,254,12.87,12.6,12.6
2021-05-11 20:00:00,255,12.86,11,11
2021-05-11 20:30:00,256,12.85,9.6,9.6
2021-05-11 21:00:00,257,12.84,8.4,8.4
2021-05-11 21:30:00,258,12.84,7.3,7.3
2021-05-11 22:00:00,259,12.83,6.3,6.3
2021-05-11 22:30:00,260,12.83,5.5,5.5
2021-05-11 23:00:00,261,12.82,4.7,4.7
2021-05-11 23:30:00,262,12.82,4.1,4.1
2021-05-12 00:00:00,263,12.81,3.6,3.6
2021-05-12 00:30:00,264,12.81,3.3,3.3
2021-05-12 01:00:00,265,12.8,2.9,2.9
2021-05-12 01:30:00,266,12.8,2.5,2.5
2021-05-12 02:00:00,267,12.8,2.2,2.2
2021-05-12 02:30:00,268,12.79,1.9,1.9
2021-05-12 03:00:00,269,12.79,1.7,1.7
2021-05-12 03:30:00,270,12.79,1.5,1.5
2021-05-12 04:00:00,271,12.78,1.2,1.2
2021-05-12 04:30:00,272,12.78,1.1,1.1
2021-05-12 05:00:00,273,12.78,1,1
2021-05-12 05:30:00,274,12.78,0.9,0.9
2021-05-12 06:00:00,275,12.78,1.1,1.1
2021-05-12 06:30:00,276,12.78,1.6,1.6
2021-05-12 07:00:00,277,12.79,2.5,2.5
2021-05-12 07:30:00,278,12.8,4.1,4.1
2021-05-12 08:00:00,279,12.81,6.4,6.4
2021-05-12 08:30:00,280,12.83,8.9,8.9
2021-05-12 09:00:00,281,12.9,10.7,10.7
2021-05-12 09:30:00,282,13.09,12.4,12.4
2021-05-12 10:00:00,283,13.12,14.7,14.7
2021-05-12 10:30:00,284,13.52,17.2,17.2
