"TOA5","BLF_EC","CR5000","1982","CR5000.Std.07","CPU:BOG_LAKE_EC.20210218.CR5","8908","li7700_diag"
"TIMESTAMP","RECORD","ch4_d_Avg","ch4_um_mol_Avg","press_7700_Avg","ta_7700_Avg","status_7700_Avg","rssi_Avg","heater_Avg","ref_ss_Avg","drop_rate_Avg","lct_act_Avg","lct_set_Avg","blkcool_act_Avg","blkcool_set_Avg","optics_rh_Avg","ch4_d_Max","ch4_um_mol_Max","press_7700_Max","ta_7700_Max","status_7700_Max","rssi_Max","heater_Max","ref_ss_Max","drop_rate_Max","lct_act_Max","lct_set_Max","blkcool_act_Max","blkcool_set_Max","optics_rh_Max","ch4_d_Min","ch4_um_mol_Min","press_7700_Min","ta_7700_Min","status_7700_Min","rssi_Min","heater_Min","ref_ss_Min","drop_rate_Min","lct_act_Min","lct_set_Min","blkcool_act_Min","blkcool_set_Min","optics_rh_Min"
"TS","RN","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min"
"2022-07-14 22:00:00",5887,0.08209044,1.963952,95.88921,18.88886,107.6507,78.69339,60.6659,75.00256,0,28.75119,29.45262,29.32245,30,3.344126,0.10258,2.445868,95.90254,19.83845,16527,78.81723,95.9021,75.1188,0,28.7688,29.454,29.3353,30,3.7513,0.07732429,1.849406,95.87357,17.71065,15,21.6552,0,74.9161,0,28.7314,29.4513,29.3075,30,2.82962
"2022-07-14 22:30:00",5888,0.08124886,1.935058,95.90284,17.89985,92.19111,78.52267,58.07516,74.95982,0,28.75121,29.45272,29.32251,30,3.361614,0.1194331,2.838868,95.9209,18.75728,143,78.75353,95.9203,75.0693,0,28.7681,29.4541,29.3353,30,3.7513,0.07655556,1.825576,95.89298,16.91952,15,77.16048,0,74.8773,0,28.7328,29.4517,29.3075,30,2.88007
"2022-07-14 23:00:00",5889,0.08356491,1.988741,95.92795,17.74567,116.824,78.28419,61.52112,74.93825,0,28.75104,29.45263,29.32243,30,3.377101,0.1164025,2.764485,95.94762,18.59692,143,78.42368,95.9485,75.05159,0,28.7724,29.454,29.3393,30,3.74761,0.07723045,1.836209,95.90674,16.845,15,73.40607,0,74.8576,0,28.7343,29.4514,29.3075,30,3.00313
"2022-07-14 23:30:00",5890,0.08342276,1.985991,95.91432,17.81101,1871.519,64.22346,74.07225,74.94157,0,28.75071,29.45231,29.32244,30,3.36624,0.1401965,3.32847,95.9389,18.40735,16591,78.40487,95.93793,75.04559,0,28.7724,29.4539,29.3366,30,3.76114,0.07679757,1.82626,95.88351,16.92775,15,1.384182,0,74.8681,0,28.7343,29.4508,29.3089,30,2.99574
"2022-07-15 00:00:00",5891,0.09302253,2.210019,95.93504,17.4037,8224.165,21.96097,77.55096,74.92263,0,28.75035,29.45201,29.32242,30,3.360415,0.4676527,11.10252,96.00706,18.17761,17119,78.33636,96.00695,75.03549,0,28.7666,29.4539,29.3366,30,3.75376,0.07718014,1.836211,95.87338,16.48917,15,0.106583,0,74.8347,0,28.7328,29.4507,29.3048,30,2.97359
"2022-07-15 00:30:00",5892,0.1052315,2.488889,95.98156,16.38248,12285.27,8.260965,72.60935,74.86906,0,28.74974,29.45136,29.32248,30,3.367417,0.4140882,9.817483,96.00368,17.35707,16991,45.07874,96.00315,74.99609,0,28.7666,29.4533,29.3353,30,3.76976,0.08444799,1.999687,95.95592,15.95534,79,0.1209095,0,74.7861,0,28.73,29.4494,29.3075,30,2.86777
"2022-07-15 01:00:00",5893,0.08839347,2.090903,95.91441,16.41686,1630.7,70.57966,73.18963,74.85693,0,28.74973,29.45152,29.32251,30,3.376529,0.1466466,3.463154,95.97728,17.04104,17119,77.81425,95.97701,74.9563,0,28.7666,29.4525,29.3359,30,3.76976,0.07941694,1.87959,95.8616,15.93192,15,0.8924995,0,74.7837,0,28.7343,29.4505,29.3048,30,2.92683
"2022-07-15 01:30:00",5894,0.08545623,2.02031,95.86802,16.28182,113.7236,77.65166,73.0296,74.85732,0,28.7496,29.4512,29.32248,30,3.375678,0.1259938,2.970299,95.90276,17.14799,143,77.85825,95.9033,74.9664,0,28.7695,29.4525,29.338,30,3.75991,0.08035121,1.903619,95.8382,15.38046,15,77.16954,0,74.7797,0,28.7328,29.4501,29.3048,30,2.87515
"2022-07-15 02:00:00",5895,0.09205768,2.17191,95.85761,15.82465,131.5227,77.50726,73.03329,74.82836,0,28.74932,29.45109,29.32243,30,3.381369,0.1230238,2.899099,95.87764,16.39814,143,77.66987,95.878,74.9398,0,28.7666,29.4524,29.3366,30,3.83375,0.0805784,1.899941,95.8395,15.39824,15,76.51244,0,74.7567,0,28.73,29.4501,29.3096,30,2.99328
"2022-07-15 02:30:00",5896,0.09567674,2.253376,95.8218,15.45625,105.0978,77.25234,71.17332,74.80872,0,28.74896,29.45094,29.32257,30,3.381091,0.143515,3.381416,95.84526,16.33882,143,77.55363,95.8451,74.9303,0,28.7681,29.4524,29.338,30,3.85713,0.080503,1.899548,95.7834,14.34695,15,71.53445,0,74.72079,0,28.7328,29.45,29.3075,30,2.91699
"2022-07-15 03:00:00",5897,0.1129145,2.650274,95.78046,14.69303,108.9307,67.33265,63.87968,74.76794,0,28.74895,29.45081,29.3225,30,3.386582,0.1928644,4.526018,95.80828,15.32808,143,77.17205,95.8078,74.882,0,28.7666,29.4517,29.3366,30,3.78945,0.08506875,1.995333,95.75125,13.72476,15,38.09506,0,74.687,0,28.73,29.4493,29.3062,30,2.9699
"2022-07-15 03:30:00",5898,0.1024772,2.405437,95.78891,14.69966,121.2471,74.87957,72.12453,74.75809,0,28.74877,29.45072,29.32254,30,3.393018,0.1606756,3.763714,95.81454,15.307,143,77.05884,95.81385,74.8609,0,28.7681,29.4518,29.342,30,3.78945,0.08287919,1.948664,95.75606,13.68461,15,54.92118,0,74.6813,0,28.7286,29.4493,29.3102,30,2.9416
"2022-07-15 04:00:00",5899,0.1103157,2.579286,95.79977,13.87523,112.664,70.11842,69.00816,74.7284,0,28.74841,29.45033,29.32244,30,3.392699,0.2186881,5.107057,95.82855,14.53189,143,77.09204,95.8287,74.8552,0,28.7638,29.4512,29.3359,30,3.80544,0.08225865,1.923095,95.78821,13.01686,15,46.12841,0,74.6498,0,28.7314,29.4493,29.3075,30,2.95267
"2022-07-15 04:30:00",5900,0.124759,2.910542,95.83281,13.46836,105.496,72.66389,59.71948,74.70828,0,28.74819,29.45001,29.32251,30,3.398509,0.2330738,5.403633,95.84544,14.46432,143,76.91635,95.84375,74.7959,0,28.7681,29.4512,29.342,30,3.79314,0.08464368,1.983059,95.81549,11.95243,15,52.84151,0,74.6263,0,28.73,29.4488,29.3035,30,3.0019
"2022-07-15 05:00:00",5901,0.1315644,3.064146,95.84272,13.02056,126.8507,65.57796,71.64815,74.68714,0,28.7477,29.44948,29.32261,30,3.39663,0.1999923,4.652431,95.86146,13.64323,143,76.68137,95.86137,74.7977,0,28.7666,29.4509,29.3353,30,3.86574,0.08693675,2.025758,95.82927,12.32591,15,42.39182,0,74.6074,0,28.73,29.4483,29.3062,30,3.02035
"2022-07-15 05:30:00",5902,0.1173737,2.734332,95.86359,13.07703,132.0133,68.99701,74.24112,74.68534,0,28.74841,29.45002,29.32251,30,3.401094,0.296189,6.886898,95.8748,13.68181,143,76.683,95.8756,74.7852,0,28.7666,29.4511,29.3353,30,3.80667,0.08848651,2.062324,95.85304,12.37443,15,43.1489,0,74.6093,0,28.7314,29.4489,29.3089,30,2.95144
"2022-07-15 06:00:00",5903,0.1085299,2.532247,95.87838,13.43313,136.4649,74.65808,76.84065,74.69328,0,28.7482,29.45008,29.32248,30,3.394464,0.2505265,5.836432,95.89005,14.0672,143,76.61781,95.8883,74.81429,0,28.7666,29.4512,29.3353,30,3.80791,0.08826482,2.062683,95.86802,12.50035,15,56.63181,0,74.6141,0,28.73,29.4489,29.3075,30,2.9416
"2022-07-15 06:30:00",5904,0.09332918,2.187399,95.89062,14.39624,138.1502,76.56066,72.64237,74.73073,0,28.74818,29.45019,29.32268,30,3.380823,0.1638305,3.830234,95.90073,15.41992,143,76.79031,95.9003,74.8401,0,28.7681,29.4517,29.3393,30,3.76853,0.08416241,1.975168,95.88347,13.69889,15,75.73204,0,74.6441,0,28.7286,29.4491,29.3062,30,2.96744
"2022-07-15 07:00:00",5905,0.08680855,2.045481,95.9146,15.56496,140.2267,76.85456,76.92345,74.79233,0,28.74914,29.45107,29.32253,30,3.379991,0.1250545,2.94665,95.93528,16.85325,143,77.14126,95.9356,74.9039,0,28.7666,29.4525,29.3359,30,3.79314,0.08139073,1.921461,95.89359,14.5865,15,67.77443,0,74.6911,0,28.73,29.4501,29.3075,30,2.93422
"2022-07-15 07:30:00",5906,0.08420658,2.001812,95.91988,17.50515,25.26133,76.92076,36.06092,74.86637,0,28.75009,29.45176,29.32257,30,3.37429,0.1173324,2.784945,95.93143,19.10048,143,77.06728,95.93076,74.942,0,28.7666,29.4537,29.3353,30,3.74515,0.08001188,1.90822,95.90554,15.83114,15,51.04647,0,74.7731,0,28.7357,29.4503,29.3075,30,2.96867
"2022-07-15 08:00:00",5907,0.0817427,1.957394,95.91388,19.08635,38.66578,76.78049,41.26936,74.92873,0,28.75082,29.45248,29.32257,30,3.371366,0.2646508,6.33598,95.92673,20.55751,16399,77.08972,95.9259,74.97989,0,28.7666,29.454,29.3353,30,3.75745,0.07853428,1.884804,95.90462,17.48376,15,0.2143591,0,74.8802,0,28.7357,29.4515,29.313,30,2.91945
"2022-07-15 08:30:00",5908,0.08016983,1.932317,95.92239,20.5171,16.82044,76.87493,40.41542,75.00188,0,28.75143,29.45319,29.32254,30,3.338595,0.1153617,2.776268,95.92925,22.08404,16399,77.13998,95.9291,75.0455,0,28.7666,29.4543,29.3353,30,3.76607,0.07827933,1.889239,95.91255,19.17358,15,50.69118,0,74.9533,0,28.7415,29.4516,29.313,30,2.89853
"2022-07-15 09:00:00",5909,0.07899743,1.912347,95.92338,21.46738,15,76.98324,39.84075,75.06206,0,28.75259,29.45414,29.32265,30,3.328799,0.08258383,1.99261,95.93291,22.65439,15,77.2455,95.93323,75.0913,0,28.7688,29.4556,29.3353,30,3.74392,0.07743366,1.874194,95.91313,20.12792,15,75.21819,0,75.0211,0,28.7415,29.4528,29.313,30,2.8973
"2022-07-15 09:30:00",5910,0.07811988,1.899656,95.93391,22.45823,15,76.95419,39.38049,75.10406,0,28.7539,29.45543,29.32246,30,3.313561,0.0809317,1.969212,95.94662,24.5653,15,77.24407,95.94582,75.1476,0,28.771,29.4567,29.3353,30,3.70946,0.07684105,1.868381,95.92086,21.10002,15,70.62658,0,75.068,0,28.7415,29.4542,29.313,30,2.87638
"2022-07-15 10:00:00",5911,0.07755196,1.892721,95.92181,23.25319,24.10222,76.81943,37.19667,75.16096,0,28.75482,29.45658,29.32251,30,3.302592,0.2877965,7.047677,95.92889,25.16105,16399,77.18192,95.9285,75.1982,0,28.771,29.4585,29.3353,30,3.69962,0.07653496,1.868611,95.91417,21.99862,15,1.383115,0,75.1219,0,28.7415,29.4544,29.313,30,2.81978
"2022-07-15 10:30:00",5912,0.07687894,1.886533,95.92881,24.45052,97.83022,76.15441,39.92255,75.20689,0,28.75561,29.45736,29.32252,30,3.288943,0.3116356,7.629587,95.94227,26.16736,16399,77.13221,95.94263,75.2363,0,28.7688,29.4587,29.3353,30,3.69346,0.07451107,1.821624,95.91369,22.66447,15,0.3147359,0,75.1688,0,28.7444,29.4561,29.313,30,2.85669
"2022-07-15 11:00:00",5913,0.07759492,1.910453,95.92995,25.17315,188.8524,75.99718,36.81588,75.25369,0,28.75612,29.4579,29.32252,30,3.275054,0.3464622,8.546034,95.93849,27.10303,16399,77.37204,95.9385,75.2893,0,28.7688,29.4598,29.3339,30,3.6467,0.07245465,1.789993,95.91579,23.21566,15,0.08370359,0,75.209,0,28.7429,29.4565,29.3102,30,2.90099
"2022-07-15 11:30:00",5914,0.07598318,1.876827,95.93147,25.88834,17.73067,77.01057,39.15613,75.30078,0,28.7575,29.4588,29.32251,30,3.274142,0.07827015,1.946216,95.94016,28.03686,16399,77.27701,95.9385,75.341,0,28.771,29.4607,29.3339,30,3.65409,0.07491717,1.846982,95.91835,24.11525,15,42.93105,0,75.2659,0,28.7465,29.4573,29.313,30,2.83577
"2022-07-15 12:00:00",5915,0.07546592,1.872976,95.9362,26.93907,15,77.10893,37.68745,75.33148,0,28.75814,29.45896,29.32249,30,3.251822,0.07728182,1.918734,95.94729,28.3707,15,77.266,95.94715,75.349,0,28.7739,29.4607,29.3339,30,3.64424,0.07429617,1.842665,95.92461,25.12474,15,76.00447,0,75.3116,0,28.7473,29.4575,29.3102,30,2.78778
"2022-07-15 12:30:00",5916,0.07495078,1.864911,95.93218,27.49374,15,77.17091,37.63177,75.34941,0,28.75829,29.45919,29.32253,30,3.251935,0.07755698,1.936045,95.95029,29.16021,15,77.32895,95.95,75.3792,0,28.7739,29.461,29.3353,30,3.62578,0.07390839,1.82943,95.91609,24.90986,15,50.31557,0,75.3236,0,28.7473,29.4576,29.313,30,2.79147
"2022-07-15 13:00:00",5917,0.07478062,1.863891,95.90465,27.8668,75.98489,76.80476,37.31161,75.3778,0,28.75924,29.46016,29.32249,30,3.251449,0.1351468,3.366318,95.92055,29.43869,16399,77.3268,95.91958,75.4003,0,28.7753,29.4618,29.3339,30,3.63809,0.07271675,1.815945,95.88596,26.00148,15,0.3391435,0,75.3542,0,28.7473,29.4588,29.313,30,2.84931
"2022-07-15 13:30:00",5918,0.07484412,1.868464,95.87239,28.21108,57.78045,76.78989,37.09733,75.39536,0,28.75931,29.46026,29.3226,30,3.216643,0.139855,3.47924,95.88995,29.8664,16399,77.17844,95.8862,75.4179,0,28.7753,29.4617,29.3353,30,3.66024,0.07275767,1.824482,95.85608,26.31985,15,0.3649645,0,75.3728,0,28.7473,29.4588,29.313,30,2.7521
"2022-07-15 14:00:00",5919,0.07445556,1.859486,95.86154,28.29389,15,76.9978,37.14121,75.40041,0,28.75948,29.46056,29.3226,30,3.239144,0.07670829,1.91934,95.87025,29.84608,15,77.13435,95.8704,75.4188,0,28.7767,29.462,29.3339,30,3.63686,0.07311029,1.824334,95.85359,26.81651,15,75.86148,0,75.383,0,28.7487,29.4592,29.313,30,2.87884
