"TOA5","S4_bogwell","CR1000X","4732","CR1000X.Std.03.02","CPU:2021.05.04_S4BogWell.cr1x","12388","S4BWMet"
TIMESTAMP,RECORD,AirT,RH,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp
2020-10-22 17:00:00,342,NAN,0,0,0,0,
2020-10-22 17:30:00,343,NAN,0,0,0,0,
2020-10-22 18:00:00,344,NAN,0,0,0,0,
2020-10-22 18:30:00,345,NAN,0,0,0,0,
2020-10-22 19:00:00,346,NAN,0,0,0,0,
2020-10-22 19:30:00,347,NAN,0,0,0,0,
2020-10-22 20:00:00,348,NAN,0,0,0,0,
2020-10-22 20:30:00,349,NAN,0,0,0,0,
2020-10-22 21:00:00,350,NAN,0,0,0,0,
2020-10-22 21:30:00,351,NAN,0,0,0,0,
2020-10-22 22:00:00,352,NAN,0,0,0,0,
2020-10-22 22:30:00,353,NAN,0,0,0,0,
2020-10-22 23:00:00,354,NAN,0,0,0,0,
2020-10-22 23:30:00,355,NAN,0,0,0,0,
2020-10-23 00:00:00,356,NAN,0,0,0,0,
2020-10-23 00:30:00,357,NAN,0,0,0,0,
2020-10-23 01:00:00,358,NAN,0,0,0,0,
2020-10-23 01:30:00,359,NAN,0,0,0,0,
2020-10-23 02:00:00,360,NAN,0,0,0,0,
2020-10-23 02:30:00,361,NAN,0,0,0,0,
2020-10-23 03:00:00,362,NAN,0,0,0,0,
2020-10-23 03:30:00,363,NAN,0,0,0,0,
2020-10-23 04:00:00,364,NAN,0,0,0,0,
2020-10-23 04:30:00,365,NAN,0,0,0,0,
2020-10-23 05:00:00,366,NAN,0,0,0,0,
2020-10-23 05:30:00,367,NAN,0,0,0,0,
2020-10-23 06:00:00,368,NAN,0,0,0,0,
2020-10-23 06:30:00,369,NAN,0,0,0,0,
2020-10-23 07:00:00,370,NAN,0,0,0,0,
2020-10-23 07:30:00,371,NAN,0,0,0,0,
2020-10-23 08:00:00,372,NAN,0,0,0,0,
2020-10-23 08:30:00,373,NAN,0,0,0,0,
2020-10-23 09:00:00,374,NAN,0,0,0,0,
2020-10-23 09:30:00,375,NAN,0,0,0,0,
2020-10-23 10:00:00,376,NAN,0,0,0,0,
2020-10-23 10:30:00,377,NAN,0,0,0,0,
2020-10-23 11:00:00,378,NAN,0,0,0,0,
2020-10-23 11:30:00,379,NAN,0,0,0,0,
2020-10-23 12:00:00,380,NAN,0,0,0,0,
2020-10-23 12:30:00,381,NAN,0,0,0,0,
2020-10-23 13:00:00,382,NAN,0,0,0,0,
2020-10-23 13:30:00,383,NAN,0,0,0,0,
2020-10-23 14:00:00,384,NAN,0,0,0,0,
2020-10-23 14:30:00,385,NAN,0,0,0,0,
2020-10-23 15:00:00,386,NAN,0,0,0,0,
2020-10-23 15:30:00,387,NAN,0,0,0,0,
2020-10-23 16:00:00,388,NAN,0,0,0,0,
2020-10-23 16:30:00,389,NAN,0,0,0,0,
2020-10-23 17:00:00,390,NAN,0,0,0,0,
2020-10-23 17:30:00,391,NAN,0,0,0,0,
2020-10-23 18:00:00,392,NAN,0,0,0,0,
2020-10-23 18:30:00,393,NAN,0,0,0,0,
2020-10-23 19:00:00,394,NAN,0,0,0,0,
2020-10-23 19:30:00,395,NAN,0,0,0,0,
2020-10-23 20:00:00,396,NAN,0,0,0,0,
2020-10-23 20:30:00,397,NAN,0,0,0,0,
2020-10-23 21:00:00,398,NAN,0,0,0,0,
2020-10-23 21:30:00,399,NAN,0,0,0,0,
